nombre,categoria,ciudad,latitud,longitud,direccion,telefono,sitio_web,imagen_url,servicios
Centro Fruver,Tienda de alimentación,Aguazul,5.172436,-72.5506405,"Cra. 19 #10 - 36, Aguazul, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkjsjgFDt9WVoQwekqYx3WNyqT3oCJdsUupz3q9A-oCxMe8CHsFPvlGm7I3rvySsaDGDp_fsgDTiVhiAZ4-UfgYU_tS3BCYHkfAN4f6cU53saTDDKk7jhQAiOMbYHZbRYReAYbJVg=w408-h306-k-no,
Supermercado Donde Flor,Tienda de alimentación,Aguazul,5.1694198,-72.5429799,"#9- a 9-105,, Cl. 15 #121, Aguazul, Casanare",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xIWOfpbElSZuGL5v_eZtcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=193.85817&pitch=0&thumbfov=100,", Entrega a domicilio, "
Tienda La INGLESA,Supermercado,Aguazul,5.164147,-72.5451361,"#8-55 a, Cra. 8, Aguazul, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnNdudUcJd4DGuFemF2PcuNmLp5x2tx6Irm1TmE3tSfVArFQQOeocke3VVJgjuYvxhIIxG9_pyQrzLUYNO5pflAiD9IxDibKr2dJ9tybtrXnC1lDglAh4vug1FaGccNSGfm5mWq=w408-h306-k-no,", Entrega a domicilio, "
Supermercado Juliley,Tienda de alimentación,Aguazul,5.1699803,-72.5458953,"Cra. 12, Aguazul, Casanare",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nhawfW3ytxDZ_Ku15hYFCA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=162.45459&pitch=0&thumbfov=100,", Entrega a domicilio, "
Supermercado El Dorado,Supermercado,Aguazul,5.1708806,-72.5521424,"Cra. 19 #8-26, Aguazul, Casanare",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JeYcoAVlyXGciOnv-WgMCg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=134.47598&pitch=0&thumbfov=100,", Entrega a domicilio, "
Campoautos,Taller mecánico,Aguazul,5.1760028,-72.544921,"Cra. 17 # 18-32, Aguazul, Casanare",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pPI1IWC7lsa60QttSU1EwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=145.14804&pitch=0&thumbfov=100,
CDA LLANO MOTORS AGUAZUL,Centro de diagnóstico,Aguazul,5.168266,-72.5509575,"Cl. 7 #15 32, Aguazul, Casanare",314 3102168,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk-_58Zcm9QnfatJHKJrujq-GL4-FNsZ2I4DRaYxIVGSL5tKrouqWjl1sHF8dnKh2p3BFjKEgQT3GQzU8svLdu6WkncUkcLZc2uNUEiwkmqFH8OZaBTHOluKfBhUQnAam4U4iOoEO-46U1o=w447-h240-k-no,
Direcciones hidráulicas del llano,Taller mecánico,Aguazul,5.1780313,-72.5594575,"Carrera 32 #9-33, Aguazul, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlGwz-nYuZbFUIajJnu70PAH3bqkcOEIRpJZMl5g_xCnm5_fjSDzq9O7QPH6m9mjUr8r6N8S2Nzt_m_XV_PYn9Z-m9i5vZ--HeCcp951XRWKkXzmGS0iQQYDlLikesNDJtmUaBzcQ=w408-h544-k-no,
Taller automotriz mikycar's,Taller mecánico,Aguazul,5.1722624,-72.5543114,"856010, Sevilla, Aguazul, Casanare",311 3433262,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm5-GjRkMJiKpCTYaNs3Kkm5-rHNV2rQiHX9SzJVrFCesjY3HIq_-5WkKAXDax86YANj9wlhIRrj3asxO0aPNsO7uJpNYI78ievf4BX4Xco3zIXq0oZ10Te3eAO13H4shzd5aSVfiFSfLbO=w408-h544-k-no,
MONTALLANTAS DESPINCHE AL MINUTO,Taller de reparación de automóviles,Aguazul,5.1701844,-72.548732,"Cra. 15 #10-103 a 10-1, Aguazul, Casanare",312 3607372,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmeafze1amifzN-Z0IqYkx2nEGyK01gU_M2QFTU1KdmxwKBOWZfKcfDO5xHaGXfrFNDNzRe3aD8RtnIbRuylJ56oiTygvxVRxHmNTyO1F5T5eGsKXeaoFPWEii3jPbeJJa-OS56=w426-h240-k-no,
Boutique El Imperio de la Moda de Aguazul SAS,Tienda de ropa,Aguazul,5.1700382,-72.5498684,"Cra. 16 #9-48, centro, Aguazul, Casanare",320 8078075,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnMa2xaRP_4nqLBz1APrEmAcbpL4qXrBGzizD58vikTXwRj8EMxO8YbI7b_EkPWO0Snfun-mFfBZ9IAHYahv0Fk0Y-_YV2YPnYB5_YScD95U3nyp4iFgGJ6mxGYpAXj8vbCDPXEJir8TzdH=w408-h306-k-no,", Entrega a domicilio, "
Totto Aguazul - Calle 11,Tienda de ropa,Aguazul,5.1718675,-72.5498904,"Cl. 11 #17-52, Aguazul, Casanare",322 2257812,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbRw9BQaVkJIiNFViiUUY5kuq4lXB9iiLfNDCQzGpuAjLwd2D3HeDE-8tJGRq1G1yurxx0YfPN9yooyF5wabBakNt0c_7YyPX1H0kk5OWA-AfhaYKakGD1p5QvTEJcQORsmdkZ=w426-h240-k-no,", Entrega a domicilio, "
Linda Moda Del Ecuador,Tienda de ropa,Aguazul,5.1715971,-72.548278,"Cl. 12 #15-56, Aguazul, Casanare",304 4172844,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GiVGfgi0B6Y4iroz_EWBGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=58.286983&pitch=0&thumbfov=100,", Entrega a domicilio, "
Guapa tienda de maquillaje,Boutique,Aguazul,5.1721011,-72.5487231,"Cra. 17 #12-28, Centro, Aguazul, Casanare",320 9032249,instagram.com,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=83lZkHfhIgxV3e1grSh_tg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=140.17717&pitch=0&thumbfov=100,
J.H Colecciones,Tienda de ropa,Aguazul,5.1689842,-72.546836,"Cra. 12 #11-40, Aguazul, Casanare",321 3882761,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnpHWIEyAisaJssPE-r1hqljgNiZNufSeEqq80T1PkxuxYXk3q5kIYRXxR0Y_N3jw_cPyruJ0H-gJT4J6oUEYJ_G4fC7NPSB7l3S3twkJiORmKJGHRk_CiPD2fvLsaPSbyduLko=w408-h408-k-no,", Compras en tienda, Retiro en tienda, Entrega a domicilio"
Papeleria Din-O,Papelería,Aguazul,5.3214861,-72.3973203,"Cl. 37 #13-05, Yopal, Casanare",302 8377238,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmyAEGTsdwfM-wo4169ifNl2HxiY9qfdWyu7q7ZHnHeKV-P8GWPYwBewHs9MPrYvqUKCxculE2b7uj2dxHGzPVEZr6SOp6vP--_tgLJ6x9cb7gbr8HxL0udylO2X4hZZVQYJbgm=w532-h240-k-no,", Entrega a domicilio, "
Papeleria Feria Colegial,Comercio,Aguazul,5.3244997,-72.4028397,"Tv. 7, Yopal, Casanare",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i8Yi26qoturTS81dEe3bew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=246.93169&pitch=0&thumbfov=100,", Entrega a domicilio, "
Compumovil JK,Papelería,Aguazul,5.1671261,-72.5479569,"Cl 9 #11 -25, Aguazul, Casanare",310 8757452,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkFNM47Epejp4XyM87Ph8SYJX6jlF1lDZfa15iuFyEYpGCZcpyy3Zf_VqVuWkKSY2YU97msDiL0XIj89NSDBOej6ZxpnUlBLnHvyv2HG0BazL1CR3u82TSlxRyQATgQt5zySwRJ=w408-h251-k-no,", Entrega a domicilio, "
PAPELERIA LA ESPAÑOLA,Papelería,Aguazul,5.1073027,-72.4578783,"Aguazul, Casanare",323 2238450,,,
SERVI S&C (Papelería e Internet),Papelería,Aguazul,5.163853,-72.545645,"Cl. 8 #6-18, Aguazul, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm3jA9z_hfs3v5GVYxrcZAkyrcaMGb8jVJ_hvwBlZM7lfkz9wh8CkBBlbqmafaijh5ZGGEWEQgf_D7LeRKcqAZ0Fs9NTifoOyTfC6MaMzmF_9ZaaZeSrPA3MsThp0Hmhi-t-dD-=w408-h544-k-no,"Servicios P&S, No hay opiniones"
El Patio Restaurante,Restaurante,Villanueva,4.6078273,-72.9266137,"Tv. 8 #9 - 12, Villanueva, Casanare",321 4837706,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmldAJ7rMyJkpdODioOcZl2I2sKGa4EwpZicqCdnftxtdXIDOztDzX2E2aW1Dsf2E6Fu5gSCQIAs4c5w755HgJiI1OYcDEVxfxe1WzJz5MqNspmloe0rQz-kUKJrf0Vfc7qA3973mBVqV8j=w408-h544-k-no,", Consumo en el lugar, Pedidos desde el automóvil, Entrega a domicilio"
PIZZERIA GASTRO BAR ESTRATO 6,Restaurante,Villanueva,4.6089546,-72.9262837,"Cl. 11 #7 05, Centro, Villanueva, Casanare",311 2324402,estrato6.pub,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmhiU2yxoc2VGBJt4dVI_27PyaZ3q6PigJTWKjuQeshhQJX-U0X6O3ITy7Rsj68ibx3jKpq5Wy6sM312LfJi8jZUzu_O2Iv4zUvTecubJPyOkY6WSrSEdXWyKLeE3NtZ5URb7w6h9r3qATk=w408-h306-k-no,", Consumo en el lugar, Pedidos desde el automóvil, Entrega sin contacto"
Bragon,Restaurante,Villanueva,4.5979261,-72.9198109,"Carrera 7 # 1 - 64, Villanueva, Casanare",321 9995221,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnm9IzJa8_YTlEP6-6qsoKyYajoEq6yKW-3pMLjN9M-YWZYiH2NJIVIGn6ckR0SjRLdFn0iBDFHmGnluuDWTBVe57sGoAaKimk7G7Npl78sJiqKOYuNdRNgqJqP8iCRj8q3DQ=w533-h240-k-no,", Consumo en el lugar, Pedidos desde el automóvil, Entrega sin contacto"
VillaVene Restaurante,Restaurante,Villanueva,4.610053,-72.9318565,"Cra. 13 #7-30, Villanueva, Casanare",321 9107704,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmkmy5PbKSVZyuZ9fSJasmbpJTp3DqmRiDYBQ_MermhwDbHy-EuXfQ7dloyyDU4kL79arGDLOTQgKezCGx_3TL5neRRtIzZU2bUdKFCDKZfoxnRp7YPeHg939XObqbBEZuB0gGj=w408-h306-k-no,", Consumo en el lugar, Retiros en la puerta, Entrega a domicilio"
Parrilla Bar Canela,Restaurante,Villanueva,4.6091735,-72.9264562,"a 10-78, Tv. 8 #102, Villanueva, Casanare",313 2599060,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl2rPrflNLvxSLwO7rikUs1iQvztN1D8z-Usr4FSQDZ7uJ3kYSk8su_GZtahfniHK_2dnJUXfeO68T3mpOV8ZsX03k3tOQ3ISe3OyN-kZYu6Ru5jjC3P-GSoOKLdhEiT_nKvdeI4A=w408-h306-k-no,", Consumo en el lugar, Para llevar, "
Ferrymaq,Tienda de herramientas,Villanueva,4.608938,-72.9308538,"Cl. 7 #11 - 10, Villanueva, Casanare",320 3173050,ferrimaq.chiwi.me,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk28F8BvupNgAqnv3c0So4AugmbjH0vMF89_uiqX9xf1DPAfipm-MVq_NLIyyuhaSsFq7cp1XHSbYLnN8DodxZCSe-80LMrWfpAu7DdRcHRR7Oj5lOvjcIkBxl-23QvJA8nuLPI=w426-h240-k-no,", Entrega a domicilio, "
Ferretería la solución,Ferretería,Villanueva,4.6107651,-72.9331643,"Cl. 7 #14-44, Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWln50GQmb3l0AgQ_78bVvpJ8sAxWuA0zr4QyRqJR13QvLKwZ2XlSHy_W7IGGjpa9y0KxvWeySdzK9cLPM_ZuKPr1M-KcYhVFBeRLWl3XfiNoi2qtGAGFUmRNaEC5ISnDWO7kaSOKw=w426-h240-k-no,", Entrega a domicilio, "
Feterreria el sol Villanueva,Ferretería,Villanueva,4.6100086,-72.9284601,"Cra. 10 #9-54, Villanueva, Casanare",,,,", Entrega a domicilio, "
Tornivarios J&M,Ferretería,Villanueva,4.6090692,-72.9259705,"Cl. 11 #7 - 32, Villanueva, Casanare",6241827,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LZjU2BNbEOD0v4HIBQrYoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.904728&pitch=0&thumbfov=100,", Entrega a domicilio, "
La tuerca,Ferretería,Villanueva,4.6086027,-72.9254122,"Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnegjXTHe5ANrQ9Ga24kvxWze8zIzjxNKE1N_cIvoKJmW1mKCwG8szK9r2NCzYHsKQ18LdeKS09-qN337nfglMjsJiDKesxphFo22vnQDR9tP98GH41j6YEUzXSG3oiowM8HRNO=w408-h306-k-no,", Entrega a domicilio, "
DROGUERIA LLANOFARMA H&A,Farmacia,Villanueva,4.6108886,-72.9325576,"Carrera Carrera 14 # 7-47, Villanueva, Casanare",310 2785643,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnkjaA5VmvR9c7FDBYHB4SqaS36QyZKsEiihwYq7LkjKVmPXND0lGCeEOVNF_p_WMUYynsfPsP9nAs53iTeetXCruiTkqZ-AYYhsujkbQqmESnV6yRNpwo8rfm_28t-blcN2zTW=w408-h306-k-no,", Compras en tienda, Retiro en tienda, Entrega a domicilio"
